Plot Title: 21839977,,,,,,,,,,
#,"Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 21839977, SEN S/N: 21839977)","Temp, °F (LGR S/N: 21839977, SEN S/N: 21839977)","DO Adj Conc, mg/L (LGR S/N: 21839977)","DO Percent Sat, % (LGR S/N: 21839977)",Coupler Detached (LGR S/N: 21839977),Coupler Attached (LGR S/N: 21839977),Host Connected (LGR S/N: 21839977),Stopped (LGR S/N: 21839977),End Of File (LGR S/N: 21839977)
1,8/19/2025 12:13,9.06,71.17,7.79,103.1,,,,,
2,8/19/2025 12:13,,,,,Logged,,,,
3,8/19/2025 12:18,9.08,71.46,7.81,103.7,,,,,
4,8/19/2025 12:23,9.12,71.49,7.84,104.2,,,,,
5,8/19/2025 12:28,9.14,71.49,7.86,104.4,,,,,
6,8/19/2025 12:33,8.83,70.99,7.59,100.3,,,,,
7,8/19/2025 12:38,8.76,70.34,7.53,98.8,,,,,
8,8/19/2025 12:43,8.78,70.09,7.54,98.8,,,,,
9,8/19/2025 12:48,8.77,69.98,7.53,98.6,,,,,
10,8/19/2025 12:53,8.77,69.91,7.53,98.5,,,,,
11,8/19/2025 12:58,8.77,69.91,7.53,98.5,,,,,
12,8/19/2025 13:03,8.75,69.94,7.52,98.3,,,,,
13,8/19/2025 13:08,8.75,69.94,7.52,98.3,,,,,
14,8/19/2025 13:13,8.75,69.94,7.52,98.3,,,,,
15,8/19/2025 13:18,8.72,69.91,7.49,97.9,,,,,
16,8/19/2025 13:23,8.72,69.91,7.49,97.9,,,,,
17,8/19/2025 13:28,8.7,69.91,7.47,97.7,,,,,
18,8/19/2025 13:33,8.7,69.94,7.47,97.7,,,,,
19,8/19/2025 13:38,8.68,69.98,7.46,97.6,,,,,
20,8/19/2025 13:43,8.67,69.98,7.45,97.4,,,,,
21,8/19/2025 13:48,8.67,69.98,7.45,97.4,,,,,
22,8/19/2025 13:53,8.63,69.98,7.41,97,,,,,
23,8/19/2025 13:58,8.64,69.98,7.42,97.1,,,,,
24,8/19/2025 14:03,8.62,70.02,7.4,96.9,,,,,
25,8/19/2025 14:08,8.61,70.02,7.4,96.8,,,,,
26,8/19/2025 14:13,8.61,70.05,7.4,96.8,,,,,
27,8/19/2025 14:18,8.58,70.05,7.37,96.5,,,,,
28,8/19/2025 14:23,8.57,70.05,7.36,96.4,,,,,
29,8/19/2025 14:28,8.56,70.05,7.35,96.3,,,,,
30,8/19/2025 14:33,8.55,70.09,7.34,96.2,,,,,
