"Plot Title: 22224702"
"#","Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 22224702, SEN S/N: 22224702)","Temp, °F (LGR S/N: 22224702, SEN S/N: 22224702)","DO Adj Conc, mg/L (LGR S/N: 22224702)","DO Percent Sat, % (LGR S/N: 22224702)","Coupler Detached (LGR S/N: 22224702)","Coupler Attached (LGR S/N: 22224702)","Host Connected (LGR S/N: 22224702)","Stopped (LGR S/N: 22224702)","End Of File (LGR S/N: 22224702)"
1,07/22/25 03:21:31 PM,-0.00,72.64,-0.00,-0.0,,,,,
2,07/22/25 03:21:48 PM,,,,,Logged,,,,
3,07/22/25 03:26:31 PM,7.79,71.17,6.70,88.7,,,,,
4,07/22/25 03:31:31 PM,7.95,70.20,6.83,89.6,,,,,
5,07/22/25 03:36:31 PM,8.01,69.80,6.88,89.9,,,,,
6,07/22/25 03:41:31 PM,8.03,69.69,6.90,90.0,,,,,
7,07/22/25 03:46:31 PM,8.03,69.62,6.90,89.9,,,,,
8,07/22/25 03:51:31 PM,8.03,69.58,6.90,89.9,,,,,
9,07/22/25 03:56:31 PM,8.03,69.58,6.90,89.9,,,,,
10,07/22/25 04:01:31 PM,8.02,69.58,6.89,89.8,,,,,
11,07/22/25 04:06:31 PM,8.01,69.55,6.88,89.6,,,,,
12,07/22/25 04:11:31 PM,8.00,69.55,6.87,89.5,,,,,
13,07/22/25 04:16:31 PM,8.00,69.58,6.87,89.5,,,,,
14,07/22/25 04:21:31 PM,7.99,69.62,6.86,89.5,,,,,
15,07/22/25 04:26:31 PM,7.98,69.62,6.85,89.3,,,,,
16,07/22/25 04:31:31 PM,7.96,69.62,6.84,89.1,,,,,
17,07/22/25 04:36:31 PM,7.97,69.58,6.84,89.2,,,,,
18,07/22/25 04:41:31 PM,7.96,69.58,6.84,89.1,,,,,
19,07/22/25 04:46:31 PM,7.94,69.58,6.82,88.9,,,,,
20,07/22/25 04:51:31 PM,7.93,69.58,6.81,88.7,,,,,
21,07/22/25 04:56:31 PM,7.93,69.62,6.81,88.8,,,,,
22,07/22/25 05:01:31 PM,7.93,69.62,6.81,88.8,,,,,
23,07/22/25 05:06:31 PM,7.90,69.66,6.78,88.5,,,,,
24,07/22/25 05:11:31 PM,7.88,69.66,6.77,88.3,,,,,
25,07/22/25 05:16:31 PM,7.87,69.66,6.76,88.1,,,,,
26,07/22/25 05:21:31 PM,7.87,69.66,6.76,88.1,,,,,
27,07/22/25 05:26:31 PM,7.84,69.66,6.73,87.8,,,,,
28,07/22/25 05:31:31 PM,7.83,69.66,6.72,87.7,,,,,
29,07/22/25 05:36:31 PM,7.82,69.66,6.72,87.6,,,,,
30,07/22/25 05:41:31 PM,7.82,69.62,6.72,87.6,,,,,
31,07/22/25 05:46:31 PM,7.81,69.62,6.71,87.4,,,,,
32,07/22/25 05:51:31 PM,7.79,69.62,6.69,87.2,,,,,
33,07/22/25 05:56:31 PM,7.78,69.66,6.68,87.1,,,,,
34,07/22/25 06:01:31 PM,7.78,69.66,6.68,87.1,,,,,
35,07/22/25 06:06:31 PM,7.75,69.69,6.66,86.8,,,,,
36,07/22/25 06:11:31 PM,7.75,69.69,6.66,86.8,,,,,
37,07/22/25 06:16:31 PM,7.76,69.66,6.66,86.9,,,,,
38,07/22/25 06:21:31 PM,7.77,69.66,6.67,87.0,,,,,
39,07/22/25 06:26:31 PM,7.71,69.66,6.62,86.4,,,,,
40,07/22/25 06:31:31 PM,7.72,69.66,6.63,86.5,,,,,
41,07/22/25 06:36:31 PM,8.96,69.84,7.70,100.5,,,,,
42,07/22/25 06:41:31 PM,9.00,69.80,7.73,101.0,,,,,
43,07/22/25 06:46:31 PM,9.02,69.69,7.75,101.1,,,,,
44,07/22/25 06:51:31 PM,9.03,69.62,7.75,101.1,,,,,
45,07/22/25 06:56:31 PM,9.04,69.58,7.76,101.2,,,,,
46,07/22/25 07:01:31 PM,9.05,69.51,7.77,101.2,,,,,
47,07/22/25 07:06:31 PM,9.05,69.44,7.77,101.1,,,,,
48,07/22/25 07:11:31 PM,9.06,69.40,7.78,101.2,,,,,
49,07/22/25 07:16:31 PM,9.06,69.44,7.78,101.2,,,,,
50,07/22/25 07:21:31 PM,9.05,69.48,7.77,101.2,,,,,
51,07/22/25 07:26:31 PM,9.06,69.48,7.78,101.3,,,,,
52,07/22/25 07:31:31 PM,9.06,69.48,7.78,101.3,,,,,
53,07/22/25 07:36:31 PM,9.06,69.44,7.78,101.2,,,,,
54,07/22/25 07:41:31 PM,9.05,69.40,7.77,101.1,,,,,
