Plot Title: 20819390,,,,,,,,,,
#,"Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 20819390, SEN S/N: 20819390)","Temp, °F (LGR S/N: 20819390, SEN S/N: 20819390)","DO Adj Conc, mg/L (LGR S/N: 20819390)","DO Percent Sat, % (LGR S/N: 20819390)",Coupler Detached (LGR S/N: 20819390),Coupler Attached (LGR S/N: 20819390),Host Connected (LGR S/N: 20819390),Stopped (LGR S/N: 20819390),End Of File (LGR S/N: 20819390)
1,7/22/2025 18:56,0,71.31,0,0,,,,,
2,7/22/2025 18:56,,,,,Logged,,,,
3,7/22/2025 18:56,,,,,,Logged,,,
4,7/22/2025 18:56,,,,,,,Logged,,
5,7/22/2025 18:56,,,,,Logged,,,,
6,7/22/2025 19:01,7.38,70.66,6.34,83.6,,,,,
7,7/22/2025 19:06,7.46,70.23,6.41,84.1,,,,,
8,7/22/2025 19:11,7.49,70.02,6.43,84.2,,,,,
9,7/22/2025 19:16,7.49,69.87,6.43,84.1,,,,,
10,7/22/2025 19:21,7.47,69.8,6.42,83.8,,,,,
11,7/22/2025 19:26,7.46,69.76,6.41,83.7,,,,,
12,7/22/2025 19:31,7.44,69.73,6.39,83.4,,,,,
13,7/22/2025 19:36,7.44,69.69,6.39,83.4,,,,,
14,7/22/2025 19:41,8.75,69.69,7.51,98,,,,,
15,7/22/2025 19:46,8.92,69.37,7.66,99.6,,,,,
16,7/22/2025 19:51,8.99,69.55,7.72,100.6,,,,,
17,7/22/2025 19:56,9,70.63,7.73,101.9,,,,,
18,7/22/2025 20:01,8.92,72.79,7.68,103.3,,,,,
19,7/22/2025 20:06,8.74,75.34,7.53,104,,,,,
20,7/22/2025 20:11,8.55,77.94,7.38,104.5,,,,,
21,7/22/2025 20:16,8.3,80.2,7.17,103.8,,,,,
22,7/22/2025 20:21,8.18,82,7.08,104.1,,,,,
23,7/22/2025 20:26,8.14,84.24,7.05,105.9,,,,,
24,7/22/2025 20:31,7.98,86.4,6.92,106,,,,,
25,7/22/2025 20:36,7.84,88.27,6.81,106,,,,,
26,7/22/2025 20:41,7.71,90,6.7,105.9,,,,,
27,7/22/2025 20:46,7.58,91.54,6.59,105.7,,,,,
28,7/22/2025 20:51,7.48,92.8,6.51,105.5,,,,,
29,7/22/2025 20:56,7.37,93.88,6.42,105,,,,,
30,7/22/2025 21:01,7.34,94.57,6.39,105.2,,,,,
31,7/22/2025 21:06,7.32,95.18,6.38,105.5,,,,,
